,Income,NumWebVisitsMonth,TotalChild,Basic,Graduation,Master,PhD,Married,Single,1,1950,1960,1970,1980,1990
0,58138.0,7,0,0,1,0,0,0,1,0,1,0,0,0,0
1,46344.0,5,2,0,1,0,0,0,1,1,1,0,0,0,0
2,71613.0,4,0,0,1,0,0,1,0,0,0,1,0,0,0
3,26646.0,6,1,0,1,0,0,1,0,1,0,0,0,1,0
4,58293.0,5,1,0,0,0,1,1,0,1,0,0,0,1,0
5,62513.0,6,1,0,0,1,0,1,0,1,0,1,0,0,0
6,55635.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
7,33454.0,8,1,0,0,0,1,1,0,1,0,0,0,1,0
8,30351.0,9,1,0,0,0,1,1,0,1,0,0,1,0,0
9,7500.0,8,0,1,0,0,0,1,0,0,0,0,1,0,0
10,63033.0,2,0,0,1,0,0,0,0,0,1,0,0,0,0
11,59354.0,6,2,0,0,1,0,0,0,1,1,0,0,0,0
12,17323.0,8,0,0,1,0,0,1,0,0,0,0,0,1,0
13,82800.0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
14,41850.0,8,2,0,1,0,0,1,0,1,0,0,0,1,0
15,37760.0,7,0,0,1,0,0,1,0,0,0,0,0,0,0
16,76995.0,5,1,0,0,1,0,1,0,1,0,0,0,0,0
17,33812.0,6,1,0,0,0,0,0,1,1,0,0,0,1,0
18,37040.0,8,0,0,1,0,0,1,0,0,0,0,0,1,0
19,58607.0,8,1,0,0,0,1,1,0,1,0,0,0,0,0
20,65324.0,4,1,0,0,0,1,1,0,1,1,0,0,0,0
21,40689.0,8,1,0,1,0,0,1,0,1,1,0,0,0,0
22,18589.0,7,0,0,1,0,0,0,1,0,0,1,0,0,0
23,53359.0,7,2,0,1,0,0,1,0,1,0,0,1,0,0
24,38360.0,3,1,0,1,0,0,1,0,1,0,0,0,1,0
25,84618.0,2,0,0,0,0,1,1,0,0,0,1,0,0,0
26,10979.0,5,0,0,0,1,0,0,0,0,0,0,0,1,0
27,38620.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
28,40548.0,5,1,0,1,0,0,1,0,1,0,0,1,0,0
29,46610.0,6,2,0,0,0,1,0,0,1,1,0,0,0,0
30,68657.0,7,0,0,0,1,0,1,0,0,0,0,0,0,0
31,49389.0,7,2,0,0,1,0,0,1,1,1,0,0,0,0
32,67353.0,2,1,0,0,0,1,1,0,1,0,0,1,0,0
33,23718.0,7,1,0,0,0,0,1,0,1,0,0,1,0,0
34,42429.0,5,1,0,1,0,0,0,0,1,0,0,1,0,0
35,48948.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
36,80011.0,4,1,0,1,0,0,1,0,1,0,0,0,1,0
37,20559.0,8,1,0,0,1,0,1,0,1,0,0,0,1,0
38,21994.0,5,1,0,1,0,0,1,0,1,1,0,0,0,0
39,7500.0,5,1,0,0,1,0,1,0,1,0,0,1,0,0
40,79941.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
41,7500.0,9,0,0,0,0,0,1,0,0,0,0,0,0,1
42,72550.0,8,2,0,0,0,1,1,0,1,1,0,0,0,0
43,65486.0,2,1,0,1,0,0,0,0,1,1,0,0,0,0
44,79143.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
45,35790.0,7,1,0,1,0,0,0,1,1,0,0,1,0,0
46,82582.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
47,66373.0,3,2,0,1,0,0,1,0,1,0,0,1,0,0
48,82384.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
49,70287.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
50,27938.0,3,1,0,1,0,0,0,1,1,0,0,0,1,0
51,55954.0,7,1,0,0,0,1,1,0,1,0,1,0,0,0
52,75777.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
53,66653.0,3,2,0,1,0,0,1,0,1,0,0,1,0,0
54,61823.0,7,1,0,1,0,0,0,1,1,1,0,0,0,0
55,67680.0,5,1,0,0,0,1,0,0,1,1,0,0,0,0
56,70666.0,4,0,0,1,0,0,1,0,0,0,0,0,0,0
57,25721.0,7,1,0,1,0,0,1,0,1,0,0,1,0,0
58,32474.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
59,88194.0,5,1,0,0,0,0,0,1,1,0,0,1,0,0
60,69096.0,4,1,0,1,0,0,1,0,1,1,0,0,0,0
61,74854.0,5,3,0,1,0,0,1,0,1,0,0,1,0,0
62,66991.0,3,0,0,0,1,0,1,0,0,1,0,0,0,0
63,65031.0,7,1,0,1,0,0,1,0,1,1,0,0,0,0
64,60631.0,7,2,0,0,0,1,1,0,1,0,0,1,0,0
65,28332.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
66,40246.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
67,75251.0,5,0,0,0,1,0,1,0,0,0,0,1,0,0
68,75825.0,4,0,0,1,0,0,0,1,0,0,0,1,0,0
69,26326.0,3,0,0,0,0,0,1,0,0,0,0,1,0,0
70,56046.0,8,0,0,1,0,0,1,0,0,0,1,0,0,0
71,29760.0,8,1,0,1,0,0,0,1,1,0,0,0,1,0
72,26304.0,7,1,0,1,0,0,1,0,1,0,1,0,0,0
73,23559.0,7,1,0,0,0,0,1,0,1,0,0,1,0,0
74,38620.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
75,81361.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
76,29440.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
77,36138.0,7,2,0,0,1,0,1,0,1,0,0,1,0,0
78,50388.0,7,1,0,1,0,0,0,1,1,1,0,0,0,0
79,79593.0,2,0,0,1,0,0,1,0,0,0,0,1,0,0
80,54178.0,2,1,0,1,0,0,1,0,1,0,1,0,0,0
81,42394.0,7,1,0,0,1,0,0,1,1,0,0,1,0,0
82,23626.0,5,1,0,0,0,1,1,0,1,0,0,1,0,0
83,30096.0,6,1,0,1,0,0,1,0,1,0,0,0,1,0
84,47916.0,6,1,0,1,0,0,0,0,1,0,1,0,0,0
85,51813.0,7,2,0,1,0,0,0,0,1,0,0,1,0,0
86,78497.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
87,50150.0,5,0,0,0,0,1,1,0,0,0,0,0,1,0
88,47823.0,8,1,0,0,0,0,0,1,1,0,1,0,0,0
89,34554.0,6,1,0,0,0,1,0,1,1,1,0,0,0,0
90,85693.0,5,1,0,1,0,0,1,0,1,0,0,1,0,0
91,65846.0,4,0,0,0,0,1,1,0,0,0,0,0,0,0
92,87195.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
93,24594.0,5,1,1,0,0,0,1,0,1,0,0,1,0,0
94,49096.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
95,52413.0,6,2,0,1,0,0,1,0,1,0,1,0,0,0
96,38557.0,7,1,0,1,0,0,0,1,1,0,0,1,0,0
97,89058.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
98,77298.0,3,1,0,1,0,0,1,0,1,0,0,1,0,0
99,68126.0,9,0,0,0,0,1,0,1,0,0,0,0,0,1
100,57288.0,6,1,0,0,1,0,1,0,1,0,1,0,0,0
101,86037.0,3,0,0,1,0,0,0,1,0,0,0,0,0,1
102,43974.0,7,1,0,0,0,1,1,0,1,0,0,0,1,0
103,50785.0,6,2,0,1,0,0,0,1,1,0,1,0,0,0
104,90765.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
105,36550.0,9,1,0,0,0,0,1,0,1,0,0,1,0,0
106,30753.0,5,2,0,0,0,0,1,0,1,0,1,0,0,0
107,21918.0,6,1,0,1,0,0,1,0,1,0,1,0,0,0
108,56129.0,4,1,0,0,1,0,1,0,1,1,0,0,0,0
109,32557.0,5,1,0,0,1,0,0,1,1,0,1,0,0,0
110,19510.0,7,2,0,0,1,0,1,0,1,0,0,0,1,0
111,30992.0,7,1,0,1,0,0,0,0,1,0,0,1,0,0
112,71488.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
113,79607.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
114,54348.0,6,2,0,0,1,0,1,0,1,1,0,0,0,0
115,77376.0,4,2,0,0,0,1,1,0,1,1,0,0,0,0
116,62998.0,5,1,0,1,0,0,1,0,1,1,0,0,0,0
117,61331.0,8,2,0,0,1,0,0,1,1,1,0,0,0,0
118,73448.0,4,0,0,1,0,0,1,0,0,0,1,0,0,0
119,41551.0,8,2,0,0,0,1,1,0,1,0,1,0,0,0
120,62981.0,3,0,0,0,0,1,1,0,0,0,1,0,0,0
121,9548.0,8,1,1,0,0,0,0,0,1,0,0,1,0,0
122,33762.0,8,3,0,0,0,1,1,0,1,1,0,0,0,0
123,35860.0,5,2,0,0,0,1,0,1,1,0,0,1,0,0
124,36921.0,7,2,0,0,0,1,0,0,1,0,1,0,0,0
125,92859.0,2,0,0,0,1,0,0,1,0,0,0,0,0,1
126,65104.0,7,1,0,0,1,0,1,0,1,0,0,1,0,0
127,86111.0,2,0,0,1,0,0,1,0,0,0,1,0,0,0
128,68352.0,6,1,0,0,0,1,0,1,1,0,0,1,0,0
129,41883.0,7,1,0,1,0,0,1,0,1,0,0,0,1,0
130,59809.0,8,2,0,1,0,0,1,0,1,0,0,1,0,0
131,23957.0,6,1,0,1,0,0,1,0,1,0,0,1,0,0
132,38547.0,8,1,0,1,0,0,1,0,1,0,0,0,1,0
133,35688.0,8,3,0,0,0,0,1,0,1,0,0,1,0,0
134,49605.0,3,0,0,0,1,0,1,0,0,0,1,0,0,0
135,59354.0,3,2,0,0,1,0,1,0,1,1,0,0,0,0
136,65747.0,6,1,0,1,0,0,1,0,1,0,1,0,0,0
137,46344.0,7,1,0,0,0,0,1,0,1,0,0,1,0,0
138,34176.0,6,1,0,1,0,0,0,1,1,0,0,0,1,0
139,61010.0,5,1,0,0,0,1,1,0,1,1,0,0,0,0
140,69372.0,4,0,0,1,0,0,1,0,0,0,0,0,0,0
141,49967.0,7,1,0,1,0,0,0,1,1,1,0,0,0,0
142,60199.0,4,3,0,1,0,0,0,1,1,0,0,1,0,0
143,55375.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0
144,80317.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
145,30523.0,7,3,0,0,1,0,0,1,1,1,0,0,0,0
146,70356.0,6,0,0,0,0,1,1,0,0,0,0,0,0,0
147,23228.0,8,1,0,1,0,0,1,0,1,0,0,0,1,0
148,74165.0,2,0,0,0,0,1,0,0,0,0,0,1,0,0
149,43482.0,6,3,0,1,0,0,1,0,1,0,1,0,0,0
150,62551.0,3,0,0,1,0,0,0,0,0,1,0,0,0,0
151,52332.0,4,0,0,1,0,0,0,0,0,1,0,0,0,0
152,66951.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
153,26091.0,5,2,0,1,0,0,1,0,1,1,0,0,0,0
154,33456.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
155,28718.0,8,1,0,1,0,0,1,0,1,0,0,0,1,0
156,50447.0,6,2,0,1,0,0,1,0,1,0,0,1,0,0
157,53537.0,5,2,0,0,0,1,1,0,1,1,0,0,0,0
158,52074.0,4,1,0,1,0,0,0,1,1,0,1,0,0,0
159,80427.0,5,1,0,0,0,1,1,0,1,0,0,1,0,0
160,83837.0,4,0,0,0,0,1,1,0,0,0,0,0,0,0
161,38853.0,7,2,0,0,0,1,1,0,1,0,0,1,0,0
162,38285.0,2,3,0,1,0,0,1,0,1,1,0,0,0,0
163,78497.0,2,0,0,0,0,0,1,0,0,1,0,0,0,0
164,51650.0,5,1,0,0,0,1,1,0,1,0,0,1,0,0
165,16248.0,6,1,0,0,0,0,1,0,1,0,0,0,1,0
166,66835.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
167,30477.0,6,1,0,0,1,0,1,0,1,0,0,0,1,0
168,28249.0,6,0,1,0,0,0,1,0,0,0,1,0,0,0
169,25271.0,9,1,0,1,0,0,1,0,1,0,0,0,1,0
170,32303.0,5,1,0,0,0,1,0,1,1,0,0,1,0,0
171,61286.0,5,1,0,1,0,0,1,0,1,0,1,0,0,0
172,74068.0,2,0,0,1,0,0,1,0,0,0,0,1,0,0
173,45759.0,7,2,0,0,0,1,1,0,1,0,1,0,0,0
174,24882.0,6,1,1,0,0,0,1,0,1,0,0,1,0,0
175,66973.0,3,0,0,0,0,1,1,0,0,0,0,0,1,0
176,38872.0,8,1,0,1,0,0,1,0,1,0,0,0,1,0
177,51148.0,6,2,0,1,0,0,1,0,1,0,0,1,0,0
178,31353.0,8,2,0,1,0,0,1,0,1,0,0,1,0,0
179,69661.0,3,0,0,0,1,0,1,0,0,0,0,0,1,0
180,80067.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
181,86718.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
182,46854.0,8,2,0,0,0,1,0,1,1,0,0,1,0,0
183,69142.0,5,1,0,1,0,0,0,0,1,1,0,0,0,0
184,75922.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
185,63693.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
186,40637.0,7,2,0,0,0,1,0,1,1,0,1,0,0,0
187,18890.0,6,0,0,0,1,0,0,1,0,0,0,0,1,0
188,29604.0,9,1,0,1,0,0,1,0,1,0,0,0,1,0
189,48721.0,6,2,0,0,1,0,0,0,1,0,1,0,0,0
190,44794.0,6,1,0,1,0,0,1,0,1,0,1,0,0,0
191,64497.0,8,1,0,1,0,0,0,0,1,1,0,0,0,0
192,46097.0,4,1,0,1,0,0,1,0,1,1,0,0,0,0
193,77972.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
194,44377.0,8,2,0,0,0,1,1,0,1,0,1,0,0,0
195,46014.0,7,2,0,0,1,0,1,0,1,0,0,1,0,0
196,70951.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
197,41443.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
198,52195.0,8,3,0,0,0,0,0,1,1,0,0,1,0,0
199,83790.0,3,0,0,0,1,0,1,0,0,0,0,0,0,0
200,44551.0,7,1,0,0,1,0,0,0,1,1,0,0,0,0
201,69508.0,6,1,0,1,0,0,1,0,1,0,0,0,1,0
202,45204.0,3,1,0,0,0,0,1,0,1,0,0,0,1,0
203,72460.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
204,77622.0,3,2,0,0,0,1,1,0,1,0,0,1,0,0
205,30732.0,8,1,0,0,0,1,1,0,1,0,0,0,1,0
206,63887.0,6,1,0,1,0,0,0,0,1,0,1,0,0,0
207,42011.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
208,51369.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
209,51537.0,8,1,0,1,0,0,0,0,1,1,0,0,0,0
210,79930.0,2,0,0,0,0,1,1,0,0,0,0,1,0,0
211,34320.0,8,1,0,0,0,1,1,0,1,0,0,0,1,0
212,37070.0,7,2,0,1,0,0,0,1,1,0,1,0,0,0
213,81975.0,7,1,0,0,0,0,0,0,1,0,1,0,0,0
214,38590.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
215,15033.0,3,0,0,1,0,0,0,1,0,1,0,0,0,0
216,62745.0,5,1,0,0,0,1,1,0,1,0,1,0,0,0
217,22212.0,6,1,0,0,0,0,1,0,1,0,0,1,0,0
218,23661.0,7,1,0,0,1,0,1,0,1,0,0,0,1,0
219,79761.0,3,1,0,0,0,1,0,1,1,1,0,0,0,0
220,7500.0,7,1,0,1,0,0,0,1,1,0,0,1,0,0
221,73455.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
222,64961.0,3,1,0,1,0,0,1,0,1,1,0,0,0,0
223,22804.0,9,1,0,1,0,0,0,1,1,0,0,1,0,0
224,73687.0,2,0,0,1,0,0,1,0,0,0,0,0,0,1
225,61074.0,7,1,0,1,0,0,1,0,1,1,0,0,0,0
226,31686.0,6,2,0,0,0,1,1,0,1,0,1,0,0,0
227,80134.0,6,1,0,1,0,0,1,0,1,0,0,1,0,0
228,75027.0,5,1,0,1,0,0,1,0,1,1,0,0,0,0
229,67546.0,3,0,0,0,0,1,1,0,0,0,0,0,1,0
230,65176.0,6,1,0,0,1,0,1,0,1,0,1,0,0,0
231,31160.0,8,1,0,0,1,0,0,1,1,0,0,1,0,0
232,29938.0,6,1,0,1,0,0,0,1,1,0,0,0,1,0
233,26490.0,6,0,0,0,0,0,1,0,0,1,0,0,0,0
234,75702.0,8,2,0,1,0,0,1,0,1,0,1,0,0,0
235,30899.0,6,1,0,0,0,1,0,1,1,0,0,1,0,0
236,63342.0,6,1,0,0,0,1,1,0,1,0,1,0,0,0
237,45989.0,3,1,0,1,0,0,0,1,1,0,1,0,0,0
238,18701.0,5,2,0,1,0,0,0,1,1,0,1,0,0,0
239,40737.0,8,3,0,0,0,1,0,1,1,1,0,0,0,0
240,15287.0,7,1,0,1,0,0,0,0,1,0,0,1,0,0
241,69674.0,5,2,0,0,0,1,0,0,1,0,1,0,0,0
242,44159.0,5,1,0,0,1,0,1,0,1,0,0,1,0,0
243,37717.0,9,1,0,0,0,1,1,0,1,0,0,1,0,0
244,43776.0,8,2,0,0,1,0,1,0,1,1,0,0,0,0
245,38179.0,7,2,0,0,1,0,1,0,1,0,1,0,0,0
246,80124.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
247,38097.0,7,2,0,0,0,1,1,0,1,0,0,1,0,0
248,72940.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
249,22070.0,6,1,0,1,0,0,1,0,1,0,0,1,0,0
250,69267.0,7,0,0,1,0,0,0,1,0,1,0,0,0,0
251,31788.0,5,1,0,0,1,0,0,1,1,0,0,0,1,0
252,61905.0,5,1,0,0,0,1,1,0,1,0,0,1,0,0
253,29315.0,6,2,0,1,0,0,1,0,1,0,1,0,0,0
254,33378.0,7,2,0,1,0,0,0,0,1,0,1,0,0,0
255,66313.0,4,1,0,0,0,1,1,0,1,0,1,0,0,0
256,60714.0,5,0,0,1,0,0,0,1,0,1,0,0,0,0
257,77882.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
258,69867.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
259,63841.0,6,1,0,0,1,0,0,0,1,0,1,0,0,0
260,24480.0,7,1,1,0,0,0,1,0,1,0,0,0,1,0
261,51369.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
262,37760.0,7,0,0,1,0,0,1,0,0,0,0,0,0,0
263,65640.0,2,1,0,0,0,1,1,0,1,0,0,1,0,0
264,44319.0,5,2,0,0,1,0,1,0,1,0,0,1,0,0
265,30631.0,7,1,0,1,0,0,1,0,1,0,0,1,0,0
266,75278.0,3,0,0,1,0,0,1,0,0,1,0,0,0,0
267,50898.0,5,2,0,0,1,0,1,0,1,1,0,0,0,0
268,79946.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0
269,35416.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
270,32414.0,7,0,0,0,0,0,1,0,0,0,0,0,1,0
271,38361.0,7,1,0,1,0,0,1,0,1,0,1,0,0,0
272,82497.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0
273,16626.0,9,2,0,1,0,0,1,0,1,0,0,1,0,0
274,29672.0,6,2,0,1,0,0,1,0,1,0,1,0,0,0
275,55951.0,8,1,0,0,1,0,1,0,1,1,0,0,0,0
276,35388.0,7,1,0,0,0,0,0,0,1,0,0,0,1,0
277,42386.0,8,1,0,0,1,0,1,0,1,0,0,0,1,0
278,68627.0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
279,57912.0,5,1,0,0,0,1,0,0,1,0,1,0,0,0
280,35246.0,5,2,0,1,0,0,0,0,1,1,0,0,0,0
281,58821.0,6,1,0,0,0,0,1,0,1,1,0,0,0,0
282,46377.0,4,1,0,0,0,1,1,0,1,0,0,1,0,0
283,39747.0,8,1,0,1,0,0,0,1,1,0,0,0,1,0
284,23976.0,7,1,0,1,0,0,1,0,1,0,0,0,1,0
285,80950.0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
286,27038.0,9,0,0,1,0,0,0,0,0,0,1,0,0,0
287,77457.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
288,64100.0,7,1,0,0,1,0,1,0,1,0,1,0,0,0
289,42670.0,4,0,0,0,1,0,1,0,0,0,0,0,0,1
290,12571.0,6,1,0,1,0,0,0,0,1,0,0,1,0,0
291,22574.0,7,3,0,1,0,0,1,0,1,0,1,0,0,0
292,70893.0,3,0,0,0,1,0,0,1,0,0,0,1,0,0
293,54198.0,4,2,0,1,0,0,1,0,1,0,1,0,0,0
294,28839.0,5,2,0,0,1,0,1,0,1,1,0,0,0,0
295,40321.0,7,2,0,1,0,0,1,0,1,0,0,1,0,0
296,66503.0,3,1,0,1,0,0,0,1,1,0,0,0,1,0
297,30833.0,5,2,0,1,0,0,1,0,1,1,0,0,0,0
298,64795.0,2,1,0,1,0,0,1,0,1,0,0,1,0,0
299,34421.0,7,1,0,1,0,0,1,0,1,0,0,1,0,0
300,47025.0,7,2,0,0,0,1,0,0,1,0,1,0,0,0
301,64325.0,7,1,0,0,0,1,0,0,1,0,1,0,0,0
302,40464.0,8,1,0,1,0,0,0,1,1,1,0,0,0,0
303,62187.0,3,0,0,1,0,0,1,0,0,1,0,0,0,0
304,14849.0,8,1,0,0,0,1,0,0,1,0,0,1,0,0
305,27255.0,7,1,0,1,0,0,1,0,1,0,0,0,1,0
306,54432.0,4,3,0,0,0,1,1,0,1,1,0,0,0,0
307,29999.0,8,1,0,0,0,1,0,1,1,0,0,0,1,0
308,24072.0,8,1,0,1,0,0,0,1,1,0,0,0,1,0
309,33996.0,4,0,0,0,0,1,0,1,0,0,0,0,1,0
310,66334.0,5,1,0,0,0,1,1,0,1,1,0,0,0,0
311,35178.0,7,1,0,0,1,0,1,0,1,0,0,1,0,0
312,22010.0,8,1,0,1,0,0,1,0,1,0,0,0,1,0
313,62204.0,3,2,0,1,0,0,0,0,1,0,1,0,0,0
314,75693.0,4,0,0,1,0,0,0,0,0,0,1,0,0,0
315,30675.0,8,1,0,1,0,0,1,0,1,0,0,1,0,0
316,83003.0,3,0,0,1,0,0,1,0,0,0,1,0,0,0
317,68655.0,3,0,0,1,0,0,0,1,0,0,0,0,1,0
318,41411.0,6,0,0,1,0,0,0,0,0,0,0,0,1,0
319,55212.0,8,1,0,0,0,1,1,0,1,0,1,0,0,0
320,59292.0,3,1,0,0,0,1,1,0,1,1,0,0,0,0
321,27190.0,8,1,1,0,0,0,1,0,1,0,0,1,0,0
322,82623.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
323,44300.0,6,2,0,1,0,0,1,0,1,0,1,0,0,0
324,84835.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
325,30372.0,7,2,0,1,0,0,0,0,1,0,0,1,0,0
326,33181.0,6,1,0,0,1,0,1,0,1,0,0,1,0,0
327,71113.0,4,1,0,1,0,0,1,0,1,1,0,0,0,0
328,71952.0,4,1,0,1,0,0,1,0,1,0,0,0,1,0
329,69759.0,3,0,0,0,0,1,0,1,0,0,1,0,0,0
330,72099.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
331,60000.0,6,1,0,0,0,1,0,1,1,0,0,1,0,0
332,38643.0,7,2,0,1,0,0,0,1,1,0,0,1,0,0
333,50737.0,6,1,0,1,0,0,1,0,1,1,0,0,0,0
334,68462.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
335,65073.0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
336,46681.0,5,2,0,0,0,1,1,0,1,0,0,0,0,0
337,78618.0,2,0,0,1,0,0,1,0,0,1,0,0,0,0
338,62187.0,4,1,0,0,0,1,0,0,1,0,1,0,0,0
339,28442.0,4,2,0,1,0,0,1,0,1,0,0,1,0,0
340,37717.0,9,1,0,0,0,1,1,0,1,0,0,1,0,0
341,51479.0,7,2,0,1,0,0,1,0,1,0,1,0,0,0
342,54803.0,4,1,0,1,0,0,0,1,1,0,1,0,0,0
343,79530.0,2,0,0,1,0,0,1,0,0,0,1,0,0,0
344,31615.0,7,1,0,1,0,0,0,0,1,0,0,1,0,0
345,72025.0,3,0,0,1,0,0,1,0,0,0,1,0,0,0
346,52614.0,8,1,0,0,0,1,0,1,1,0,0,1,0,0
347,35684.0,6,1,0,0,0,0,1,0,1,0,0,0,1,0
348,48178.0,8,2,0,1,0,0,1,0,1,0,0,1,0,0
349,29548.0,4,1,0,0,1,0,0,1,1,0,0,1,0,0
